idx,ppq,mixed_sample,exact_sample,role
0,0.0,0,0.0,primary
1,0.010416666666666666,230,229.6875,secondary
2,0.020833333333333332,459,459.375,secondary
3,0.03125,689,689.0625,secondary
4,0.041666666666666664,919,918.75,secondary
5,0.05208333333333333,1148,1148.4375,secondary
6,0.071875,1585,1584.8437499999998,secondary
7,0.08229166666666667,1815,1814.53125,secondary
8,0.09270833333333332,2044,2044.2187499999998,secondary
9,0.103125,2274,2273.90625,secondary
10,0.11354166666666665,2504,2503.5937499999995,secondary
11,0.12395833333333332,2733,2733.28125,secondary
12,0.125,2756,2756.25,primary
13,0.13541666666666666,2986,2985.9375,secondary
14,0.14583333333333334,3215,3215.625,secondary
15,0.15625,3445,3445.3125,secondary
16,0.16666666666666666,3675,3675.0,secondary
17,0.17708333333333331,3904,3904.6874999999995,secondary
18,0.196875,4341,4341.09375,secondary
19,0.20729166666666665,4571,4570.78125,secondary
20,0.21770833333333334,4800,4800.46875,secondary
21,0.228125,5030,5030.15625,secondary
22,0.23854166666666665,5260,5259.84375,secondary
23,0.24895833333333334,5490,5489.53125,secondary
24,0.25,5512,5512.5,primary
25,0.2604166666666667,5742,5742.1875,secondary
26,0.2708333333333333,5971,5971.875,secondary
27,0.28125,6201,6201.5625,secondary
28,0.2916666666666667,6431,6431.25,secondary
29,0.3020833333333333,6660,6660.9375,secondary
30,0.321875,7097,7097.343750000001,secondary
31,0.3322916666666667,7327,7327.031250000001,secondary
32,0.34270833333333334,7557,7556.71875,secondary
33,0.353125,7786,7786.406250000001,secondary
34,0.3635416666666667,8016,8016.093750000001,secondary
35,0.37395833333333334,8246,8245.78125,secondary
36,0.375,8269,8268.75,primary
37,0.3854166666666667,8499,8498.4375,secondary
38,0.3958333333333333,8728,8728.125,secondary
39,0.40625,8958,8957.8125,secondary
40,0.4166666666666667,9188,9187.5,secondary
41,0.4270833333333333,9417,9417.1875,secondary
42,0.446875,9854,9853.59375,secondary
43,0.4572916666666667,10083,10083.28125,secondary
44,0.46770833333333334,10313,10312.96875,secondary
45,0.478125,10543,10542.65625,secondary
46,0.4885416666666667,10772,10772.34375,secondary
47,0.49895833333333334,11002,11002.03125,secondary
48,0.5,11025,11025.0,primary
49,0.5104166666666666,11255,11254.6875,secondary
50,0.5208333333333334,11484,11484.375,secondary
51,0.53125,11714,11714.0625,secondary
